,As of Date,Facility PFI,Facility Name,DOH Region,Facility County,Facility Network,NY Forward Region,Patients Currently Hospitalized,Patients Newly Admitted,Patients Positive After Admission,Patients Discharged,Patients Currently in ICU,Patients Currently ICU Intubated,Patients Expired,Cumulative COVID-19 Discharges to Date,Cumulative COVID-19 Fatalities to Date,Total Staffed Beds,Total Staffed Beds Currently Available,Total Staffed ICU Beds,Total Staffed ICU Beds Currently Available,Patients Age Less Than 1 Year,Patients Age 1 To 4 Years,Patients Age 5 to 19 Years,Patients Age 20 to 44 Years,Patients Age 45 to 54 Years,Patients Age 55 to 64 Years,Patients Age 65 to 74 Years,Patients Age 75 to 84 Years,Patients Age Greater Than 85 Years,Hospitalized Indicator
10527,7/12/2021,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10528,7/12/2021,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,3.0,0.0,0.0,0.0,1.0,0.0,0.0,"1,211",127,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0
10529,7/12/2021,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,860,149,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
10530,7/12/2021,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,495,70,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
10531,7/12/2021,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,5.0,1.0,0.0,0.0,1.0,0.0,1.0,384,75,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0
10532,7/12/2021,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,9,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10533,7/12/2021,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,687",284,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10534,7/12/2021,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10535,7/12/2021,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,099",322,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
10536,7/13/2021,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,1.0,0.0,0.0,0.0,1.0,1.0,0.0,"1,172",302,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
10537,7/13/2021,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10538,7/13/2021,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,3.0,0.0,0.0,0.0,1.0,0.0,0.0,"1,211",127,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0
10539,7/13/2021,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,860,149,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
10540,7/13/2021,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,495,70,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
10541,7/13/2021,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,5.0,1.0,0.0,1.0,1.0,0.0,0.0,385,75,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0
10542,7/13/2021,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,9,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10543,7/13/2021,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,687",284,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10544,7/13/2021,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10545,7/13/2021,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,099",322,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
10546,7/14/2021,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,1.0,0.0,0.0,0.0,1.0,1.0,0.0,"1,172",302,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
10547,7/14/2021,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10548,7/14/2021,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,3.0,0.0,0.0,0.0,1.0,0.0,0.0,"1,211",127,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0
10549,7/14/2021,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,860,149,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
10550,7/14/2021,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,495,70,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
10551,7/14/2021,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,3.0,0.0,0.0,2.0,2.0,1.0,0.0,387,75,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
10552,7/14/2021,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,9,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10553,7/14/2021,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,687",284,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10554,7/14/2021,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10555,7/14/2021,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,099",322,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
10556,7/15/2021,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,1.0,0.0,0.0,0.0,1.0,1.0,0.0,"1,172",302,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
10557,7/15/2021,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10558,7/15/2021,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,4.0,0.0,1.0,0.0,1.0,0.0,0.0,"1,211",127,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0
10559,7/15/2021,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,2.0,0.0,0.0,0.0,862,149,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10560,7/15/2021,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,496,70,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10561,7/15/2021,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,3.0,0.0,0.0,0.0,2.0,1.0,0.0,387,75,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
10562,7/15/2021,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,9,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10563,7/15/2021,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,687",284,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10564,7/15/2021,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10565,7/15/2021,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"1,100",322,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
10566,7/16/2021,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,1.0,0.0,0.0,0.0,1.0,1.0,0.0,"1,172",302,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
10567,7/16/2021,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,1.0,0.0,1.0,0.0,0.0,0.0,0.0,193,0,0,84.0,50.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10568,7/16/2021,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,4.0,0.0,0.0,0.0,1.0,0.0,0.0,"1,211",127,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0
10569,7/16/2021,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862,149,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10570,7/16/2021,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,1.0,1.0,0.0,1.0,0.0,0.0,0.0,497,70,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
10571,7/16/2021,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,4.0,1.0,0.0,0.0,1.0,1.0,0.0,387,75,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0
10572,7/16/2021,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,9,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10573,7/16/2021,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,687",284,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10574,7/16/2021,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10575,7/16/2021,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"1,101",322,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10576,7/17/2021,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,3.0,0.0,2.0,0.0,1.0,1.0,0.0,"1,172",302,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0
10577,7/17/2021,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,194,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10578,7/17/2021,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,4.0,0.0,0.0,2.0,1.0,0.0,0.0,"1,213",127,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0
10579,7/17/2021,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862,149,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10580,7/17/2021,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,497,70,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
10581,7/17/2021,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,4.0,0.0,0.0,0.0,1.0,1.0,0.0,387,75,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0
10582,7/17/2021,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,9,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10583,7/17/2021,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,687",284,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10584,7/17/2021,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10585,7/17/2021,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,101",322,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
10586,7/18/2021,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,2.0,0.0,0.0,1.0,1.0,1.0,0.0,"1,173",302,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
10587,7/18/2021,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10588,7/18/2021,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,4.0,0.0,1.0,0.0,1.0,0.0,0.0,"1,213",127,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0
10589,7/18/2021,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862,149,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10590,7/18/2021,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,2.0,0.0,1.0,0.0,0.0,0.0,0.0,497,70,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
10591,7/18/2021,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,4.0,1.0,0.0,1.0,1.0,1.0,0.0,388,75,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0
10592,7/18/2021,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,9,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10593,7/18/2021,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,687",284,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10594,7/18/2021,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10595,7/18/2021,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,101",322,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
10596,7/19/2021,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,5.0,1.0,2.0,0.0,2.0,2.0,0.0,"1,173",302,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0
10597,7/19/2021,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10598,7/19/2021,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,3.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,213",127,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0
10599,7/19/2021,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,3.0,0.0,0.0,0.0,0.0,0.0,0.0,862,149,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
10600,7/19/2021,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,2.0,1.0,0.0,1.0,0.0,0.0,0.0,498,70,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
10601,7/19/2021,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,5.0,1.0,0.0,0.0,1.0,1.0,0.0,388,75,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0
10602,7/19/2021,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,9,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10603,7/19/2021,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,687",284,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10604,7/19/2021,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10605,7/19/2021,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,2.0,1.0,0.0,0.0,0.0,0.0,0.0,"1,101",322,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
10606,7/20/2021,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,5.0,0.0,0.0,0.0,3.0,2.0,0.0,"1,173",302,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0
